Batoh{pocetPredmetov=217, aktualnaHmotnost=11986.0, hodnotaUF=27185.0}
Predmet{cena=115.0, vaha=54.0, koeficient=2.1296296296296298}
Predmet{cena=90.0, vaha=42.0, koeficient=2.142857142857143}
Predmet{cena=110.0, vaha=51.0, koeficient=2.156862745098039}
Predmet{cena=145.0, vaha=67.0, koeficient=2.1641791044776117}
Predmet{cena=145.0, vaha=67.0, koeficient=2.1641791044776117}
Predmet{cena=100.0, vaha=46.0, koeficient=2.1739130434782608}
Predmet{cena=100.0, vaha=46.0, koeficient=2.1739130434782608}
Predmet{cena=100.0, vaha=46.0, koeficient=2.1739130434782608}
Predmet{cena=105.0, vaha=48.0, koeficient=2.1875}
Predmet{cena=125.0, vaha=57.0, koeficient=2.192982456140351}
Predmet{cena=90.0, vaha=41.0, koeficient=2.1951219512195124}
Predmet{cena=145.0, vaha=66.0, koeficient=2.196969696969697}
Predmet{cena=130.0, vaha=59.0, koeficient=2.2033898305084745}
Predmet{cena=150.0, vaha=68.0, koeficient=2.2058823529411766}
Predmet{cena=95.0, vaha=43.0, koeficient=2.2093023255813953}
Predmet{cena=135.0, vaha=61.0, koeficient=2.2131147540983607}
Predmet{cena=100.0, vaha=45.0, koeficient=2.2222222222222223}
Predmet{cena=140.0, vaha=63.0, koeficient=2.2222222222222223}
Predmet{cena=140.0, vaha=63.0, koeficient=2.2222222222222223}
Predmet{cena=120.0, vaha=54.0, koeficient=2.2222222222222223}
Predmet{cena=145.0, vaha=65.0, koeficient=2.230769230769231}
Predmet{cena=125.0, vaha=56.0, koeficient=2.232142857142857}
Predmet{cena=125.0, vaha=56.0, koeficient=2.232142857142857}
Predmet{cena=150.0, vaha=67.0, koeficient=2.2388059701492535}
Predmet{cena=150.0, vaha=67.0, koeficient=2.2388059701492535}
Predmet{cena=150.0, vaha=67.0, koeficient=2.2388059701492535}
Predmet{cena=130.0, vaha=58.0, koeficient=2.2413793103448274}
Predmet{cena=135.0, vaha=60.0, koeficient=2.25}
Predmet{cena=140.0, vaha=62.0, koeficient=2.2580645161290325}
Predmet{cena=120.0, vaha=53.0, koeficient=2.2641509433962264}
Predmet{cena=120.0, vaha=53.0, koeficient=2.2641509433962264}
Predmet{cena=150.0, vaha=66.0, koeficient=2.272727272727273}
Predmet{cena=130.0, vaha=57.0, koeficient=2.280701754385965}
Predmet{cena=130.0, vaha=57.0, koeficient=2.280701754385965}
